指标,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值
地区,日本,韩国,韩国,土耳其,土耳其,比利时,比利时,丹麦,丹麦,英国,英国,德国,德国,法国,法国,爱尔兰,爱尔兰,意大利,意大利,卢森堡,卢森堡,荷兰,荷兰,希腊,希腊,葡萄牙,葡萄牙,西班牙,西班牙,奥地利,奥地利,芬兰,芬兰,匈牙利,匈牙利,冰岛,冰岛,挪威,挪威,波兰,波兰,瑞典,瑞典,瑞士,瑞士,捷克,捷克,斯洛伐克,斯洛伐克,墨西哥,墨西哥,加拿大,澳大利亚,澳大利亚,新西兰,新西兰,欧元区
频度,月,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,月,季,月,季,月
2001-01,96.56,112.46,,24.64,,118.15,,118.23,,103.42,,118.15,,118.15,,118.15,,118.15,,118.15,,118.15,,118.15,,118.15,,118.15,,118.15,,118.15,,101.11,,64.4,,108.81,,109.16,,112.29,,169.28,,152.24,,171.35,,61.48,,117.56,135.42,,157.14,,118.15
2001-02,96,110.61,,27.65,,120.4,,120.38,,105.18,,120.4,,120.4,,120.4,,120.4,,120.4,,120.4,,120.4,,120.4,,120.4,,120.4,,120.4,,103.3,,65.17,,110.5,,108.52,,115.59,,173.29,,152.94,,174.48,,61.07,,119.15,140.6,,160.42,,120.4
2001-03,100,113.97,112.35,35.22,29.17,122.14,120.23,121.45,120.02,105.81,104.8,122.14,120.23,122.14,120.23,122.14,120.23,122.14,120.23,122.14,120.23,122.14,120.23,122.14,120.23,122.14,120.23,122.14,120.23,122.14,120.23,122.14,120.23,104.8,103.07,66.33,65.3,111.26,110.19,107.67,108.45,119.29,115.72,175.7,172.76,154.36,153.18,176.57,174.13,60.41,60.98,121.91,149.39,141.81,166.71,161.42,122.14
2001-04,102.3,117.41,,44.6,,124.12,,124.36,,106.42,,124.12,,124.12,,124.12,,124.12,,124.12,,124.12,,124.12,,124.12,,124.12,,124.12,,124.12,,107.15,,70.74,,112.61,,106.76,,120.87,,177.84,,157.43,,179.37,,58.81,,121.9,150.07,,171.73,,124.12
2001-05,100.78,114.68,,41.84,,126.85,,126.79,,107.08,,126.85,,126.85,,126.85,,126.85,,126.85,,126.85,,126.85,,126.85,,126.85,,126.85,,126.85,,105.86,,76.25,,113.42,,105.64,,122.79,,182.19,,159.6,,181.62,,57.93,,120.56,144.48,,165.46,,126.85
2001-06,100.99,114.38,115.49,44.76,43.73,129.89,126.95,129.85,127,108.92,107.47,129.89,126.95,129.89,126.95,129.89,126.95,129.89,126.95,129.89,126.95,129.89,126.95,129.89,126.95,129.89,126.95,129.89,126.95,129.89,126.95,129.89,126.95,103.87,105.63,79.35,75.45,115.29,113.77,105.3,105.9,128.05,123.9,185.41,181.81,161.83,159.62,184.69,181.89,57.36,58.03,119.26,145.06,146.54,168.29,168.49,129.89
2001-07,103.03,115.16,,48.61,,128.78,,128.58,,107.95,,128.78,,128.78,,128.78,,128.78,,128.78,,128.78,,128.78,,128.78,,128.78,,128.78,,128.78,,103.57,,77.41,,114.83,,111.34,,127.58,,182.57,,160.1,,182.47,,57.67,,119.64,147.48,,170.87,,128.78
2001-08,100.51,113.34,,51.41,,122.98,,123.05,,106.24,,122.98,,122.98,,122.98,,122.98,,122.98,,122.98,,122.98,,122.98,,122.98,,122.98,,122.98,,99.83,,74.67,,110.93,,112.74,,122.57,,174.53,,153.7,,176.71,,57.8,,120.39,143.51,,161.87,,122.98
2001-09,98.24,114.43,114.31,54.11,51.38,121.56,124.44,121.39,124.34,104.29,106.16,121.56,124.44,121.56,124.44,121.56,124.44,121.56,124.44,121.56,124.44,121.56,124.44,121.56,124.44,121.56,124.44,121.56,124.44,121.56,124.44,121.56,124.44,100.37,101.26,75.85,75.98,108.72,111.49,111.93,112,125.88,125.35,169.8,175.64,152.19,155.33,175.98,178.39,59.16,58.21,122.56,148.66,146.55,166.68,166.47,121.56
2001-10,100.3,115.19,,59,,122.45,,122.06,,105.26,,122.45,,122.45,,122.45,,122.45,,122.45,,122.45,,122.45,,122.45,,122.45,,122.45,,122.45,,100.83,,77.73,,109.46,,109.74,,125.59,,169.76,,150.65,,177.1,,58.93,,122.88,149.01,,168.49,,122.45
2001-11,101.08,113.32,,56.02,,124.88,,124.63,,106.41,,124.88,,124.88,,124.88,,124.88,,124.88,,124.88,,124.88,,124.88,,124.88,,124.88,,124.88,,101.31,,81.35,,110.57,,108.6,,125.75,,171.42,,152.34,,178.72,,58.07,,124.4,145.36,,167.59,,124.88
2001-12,104.98,113.78,114.1,53.44,56.15,124.23,123.85,123.89,123.53,105.99,105.88,124.23,123.85,124.23,123.85,124.23,123.85,124.23,123.85,124.23,123.85,124.23,123.85,124.23,123.85,124.23,123.85,124.23,123.85,124.23,123.85,124.23,123.85,99.35,100.5,79.36,79.48,111.11,110.38,106.67,108.34,125.51,125.62,171.75,170.98,148.19,150.39,177.61,177.81,57.7,58.23,123.37,146,146.79,167.48,167.85,124.23
2002-01,109.75,116.4,,50.49,,125.68,,125.06,,106.71,,125.68,,125.68,,125.68,,125.68,,125.68,,125.68,,125.68,,125.68,,125.68,,125.68,,125.68,,98.81,,77.66,,111.12,,107.76,,124.08,,173.64,,147.19,,176.98,,57.72,,125.1,145.34,,164.41,,125.68
2002-02,110.29,116.67,,49.95,,127.41,,126.97,,107.33,,127.41,,127.41,,127.41,,127.41,,127.41,,127.41,,127.41,,127.41,,127.41,,127.41,,127.41,,100.21,,76.8,,110.95,,111.17,,125.15,,176.35,,148.54,,178.87,,57.32,,124.88,146.57,,166.65,,127.41
2002-03,108.46,116.87,116.65,49.99,50.14,126.55,126.54,126.05,126.02,107.33,107.12,126.55,126.54,126.55,126.54,126.55,126.54,126.55,126.54,126.55,126.54,126.55,126.54,126.55,126.54,126.55,126.54,126.55,126.54,126.55,126.54,126.55,126.54,99.93,99.65,76.06,76.84,109.27,110.45,109.81,109.58,122.56,123.93,173.99,174.66,145.62,147.12,176.32,177.39,57.1,57.38,124.08,143.08,145,161.28,164.11,126.55
2002-04,108.07,116.47,,48.63,,125.1,,124.69,,105.84,,125.1,,125.1,,125.1,,125.1,,125.1,,125.1,,125.1,,125.1,,125.1,,125.1,,125.1,,98.03,,73.75,,106.81,,107.78,,122.25,,171.71,,139.59,,173.54,,57.71,,123.67,140.32,,158.08,,125.1
2002-05,104.41,111.66,,51.34,,120.82,,120.43,,104.66,,120.82,,120.82,,120.82,,120.82,,120.82,,120.82,,120.82,,120.82,,120.82,,120.82,,120.82,,95.21,,69.73,,101.77,,107.28,,119.19,,164.92,,135.54,,172.69,,59.89,,121.27,136.71,,151.37,,120.82
2002-06,101.86,108.06,112.06,56.16,52.04,115.97,120.63,115.57,120.23,102.88,104.46,115.97,120.63,115.97,120.63,115.97,120.63,115.97,120.63,115.97,120.63,115.97,120.63,115.97,120.63,115.97,120.63,115.97,120.63,115.97,120.63,115.97,120.63,91.13,94.79,67.7,70.39,96.12,101.57,106.84,107.3,113.01,118.15,159.88,165.5,129.38,134.84,171.39,172.54,61.51,59.7,119.77,132.1,136.37,142.6,150.69,115.97
2002-07,97.53,104.67,,60.89,,111.86,,111.33,,98.15,,111.86,,111.86,,111.86,,111.86,,111.86,,111.86,,111.86,,111.86,,111.86,,111.86,,111.86,,88.82,,64.87,,92.62,,109.15,,110.85,,153.12,,121.56,,164.85,,61.57,,120.88,135.72,,144.87,,111.86
2002-08,98.33,105.76,,60.36,,113.42,,112.91,,99.39,,113.42,,113.42,,113.42,,113.42,,113.42,,113.42,,113.42,,113.42,,113.42,,113.42,,113.42,,89.85,,65.29,,94.23,,110.8,,112.21,,155.55,,128,,165.74,,61.98,,122.73,138.75,,150.34,,113.42
2002-09,99.86,106.92,105.78,60.76,60.67,113.03,112.77,112.55,112.27,98.16,98.56,113.03,112.77,113.03,112.77,113.03,112.77,113.03,112.77,113.03,112.77,113.03,112.77,113.03,112.77,113.03,112.77,113.03,112.77,113.03,112.77,113.03,112.77,89.09,89.26,66.35,65.5,93.01,93.29,110.07,110.01,110.85,111.3,155.05,154.57,125.34,124.97,161.43,164.01,63.41,62.32,123.19,137.49,137.32,148.08,147.77,113.03
2002-10,102.4,109.55,,60.82,,112.99,,112.54,,98.1,,112.99,,112.99,,112.99,,112.99,,112.99,,112.99,,112.99,,112.99,,112.99,,112.99,,112.99,,88.86,,66.5,,92.76,,109.42,,110.03,,155.05,,126.99,,156.92,,63.53,,123.44,136.66,,144.9,,112.99
2002-11,100.37,107.14,,59.11,,110.75,,110.28,,97.23,,110.75,,110.75,,110.75,,110.75,,110.75,,110.75,,110.75,,110.75,,110.75,,110.75,,110.75,,85.24,,65.26,,90.67,,104.88,,107.49,,152.27,,124.8,,152.64,,64.19,,122.94,133.98,,140.48,,110.75
2002-12,100.83,106.83,107.84,57.99,59.31,108.9,110.88,108.4,110.41,96.31,97.22,108.9,110.88,108.9,110.88,108.9,110.88,108.9,110.88,108.9,110.88,108.9,110.88,108.9,110.88,108.9,110.88,108.9,110.88,108.9,110.88,108.9,110.88,83.21,85.77,63.28,65.01,88.93,90.79,104.15,106.15,106.21,107.91,149.7,152.34,124.63,125.47,151.48,153.68,64.34,64.02,121.94,133.5,134.71,136.93,140.77,108.9
2003-01,98.18,104.11,,61.08,,104.32,,103.81,,94.41,,104.32,,104.32,,104.32,,104.32,,104.32,,104.32,,104.32,,104.32,,104.32,,104.32,,104.32,,81.24,,60.28,,85.59,,101.6,,102.38,,142.89,,120.56,,144.54,,66.89,,120.47,128.98,,129.14,,104.32
2003-02,98.7,105.34,,59.91,,102.9,,102.5,,95.04,,102.9,,102.9,,102.9,,102.9,,102.9,,102.9,,102.9,,102.9,,102.9,,102.9,,102.9,,81.47,,58.9,,86.75,,102.5,,100.69,,141.39,,119.39,,143.44,,68.9,,118.28,126.33,,125.89,,102.9
2003-03,98.06,109.37,106.28,61.08,60.69,102.78,103.33,102.35,102.89,96.52,95.32,102.78,103.33,102.78,103.33,102.78,103.33,102.78,103.33,102.78,103.33,102.78,103.33,102.78,103.33,102.78,103.33,102.78,103.33,102.78,103.33,102.78,103.33,81.5,81.41,59.17,59.45,90.05,87.46,106.33,103.48,101.36,101.48,141.49,141.92,119.62,119.86,142.37,143.45,68.81,68.2,115.41,124.83,126.71,125.99,127,102.78
2003-04,99.08,107.98,,59.84,,102.05,,101.57,,97.01,,102.05,,102.05,,102.05,,102.05,,102.05,,102.05,,102.05,,102.05,,102.05,,102.05,,102.05,,81.03,,58.32,,89.4,,105.08,,99.95,,143.12,,118.54,,139.5,,66.69,,113.99,123.22,,126.41,,102.05
2003-05,97,106.16,,54.8,,95.88,,95.43,,94.18,,95.88,,95.88,,95.88,,95.88,,95.88,,95.88,,95.88,,95.88,,95.88,,95.88,,95.88,,76.09,,55.38,,84.44,,99.28,,93.82,,136.07,,110.4,,131.04,,64.64,,108.2,116.06,,121.25,,95.88
2003-06,97.8,105.51,106.55,52.4,55.68,95.06,97.66,94.61,97.2,92.01,94.4,95.06,97.66,95.06,97.66,95.06,97.66,95.06,97.66,95.06,97.66,95.06,97.66,95.06,97.66,95.06,97.66,95.06,97.66,95.06,97.66,95.06,97.66,80.05,79.06,56.08,56.59,86.78,86.87,100.83,101.73,92.66,95.48,137.1,138.77,109.73,112.89,130.69,133.74,66.16,65.83,105.75,113.1,117.46,120.13,122.6,95.06
2003-07,98.04,104.37,,51.54,,97.58,,97.22,,94.14,,97.58,,97.58,,97.58,,97.58,,97.58,,97.58,,97.58,,97.58,,97.58,,97.58,,97.58,,82.96,,58.49,,90.36,,103.38,,95.95,,141.33,,113.83,,135.25,,65.85,,107.95,113.51,,118.92,,97.58
2003-08,98.11,104.15,,51.59,,99.5,,99.14,,95.87,,99.5,,99.5,,99.5,,99.5,,99.5,,99.5,,99.5,,99.5,,99.5,,99.5,,99.5,,83.28,,60.45,,91.98,,103.76,,98.27,,143.56,,117.6,,138.05,,67.92,,109.13,115.45,,119.86,,99.5
2003-09,95,102.98,103.83,50.57,51.23,98.57,98.55,98.1,98.15,94.71,94.91,98.57,98.55,98.57,98.55,98.57,98.55,98.57,98.55,98.57,98.55,98.57,98.55,98.57,98.55,98.57,98.55,98.57,98.55,98.57,98.55,98.57,98.55,81.56,82.6,60.03,59.66,90.53,90.95,105.43,104.19,95.54,96.59,142.8,142.56,117.29,116.24,136.67,136.66,68.81,67.52,106.66,113.52,114.16,119.55,119.44,98.57
2003-10,90.49,103.19,,52.59,,94.81,,94.43,,91.06,,94.81,,94.81,,94.81,,94.81,,94.81,,94.81,,94.81,,94.81,,94.81,,94.81,,94.81,,78.18,,57.81,,87.25,,103.96,,91.37,,137.53,,111.12,,129.88,,70.32,,103.48,108.39,,116.08,,94.81
2003-11,90.22,104.78,,54.08,,94.67,,94.39,,90.41,,94.67,,94.67,,94.67,,94.67,,94.67,,94.67,,94.67,,94.67,,94.67,,94.67,,94.67,,79.41,,57.48,,86.89,,104.78,,91.05,,138.28,,111.19,,129.74,,70.18,,102.63,104.87,,110.96,,94.67
2003-12,89.09,105.34,104.44,52.68,53.12,90.2,93.23,89.96,92.93,87.24,89.57,90.2,93.23,90.2,93.23,90.2,93.23,90.2,93.23,90.2,93.23,90.2,93.23,90.2,93.23,90.2,93.23,90.2,93.23,90.2,93.23,90.2,93.23,77.28,78.29,55.38,56.89,83.16,85.76,100.68,103.14,86.97,89.8,131.36,135.72,107.14,109.82,123.74,127.79,70.86,70.45,102.65,101.68,104.98,107.86,111.63,90.2
2004-01,87.85,104.57,,49.51,,87.94,,87.8,,83.75,,87.94,,87.94,,87.94,,87.94,,87.94,,87.94,,87.94,,87.94,,87.94,,87.94,,87.94,,74.97,,52.72,,84.4,,98.79,,85.95,,129,,105.27,,118.91,,68.82,,101.39,97.43,,103.68,,87.94
2004-02,88.14,103.03,,48.84,,87.79,,87.68,,81.79,,87.79,,87.79,,87.79,,87.79,,87.79,,87.79,,87.79,,87.79,,87.79,,87.79,,87.79,,74.46,,51.94,,85.98,,101.65,,86.2,,129.4,,105.7,,118.14,,69.45,,103.94,96.49,,100.82,,87.79
2004-03,89.68,102.94,103.52,48.47,48.94,90.47,88.74,90.33,88.61,83.59,83.04,90.47,88.74,90.47,88.74,90.47,88.74,90.47,88.74,90.47,88.74,90.47,88.74,90.47,88.74,90.47,88.74,90.47,88.74,90.47,88.74,90.47,88.74,73.96,74.46,53.87,52.84,86.4,85.59,102.99,101.15,89.42,87.19,132.74,130.38,109.17,106.71,121.25,119.43,69.36,69.21,103.89,100.35,98.09,105.45,103.32,90.47
2004-04,88.94,101.79,,49.94,,92.46,,92.25,,84.66,,92.46,,92.46,,92.46,,92.46,,92.46,,92.46,,92.46,,92.46,,92.46,,92.46,,92.46,,74.53,,55.36,,85.83,,105.09,,90.69,,134.88,,110.11,,123.11,,70.94,,104.92,100.94,,108.77,,92.46
2004-05,92.64,103.99,,55.49,,92.34,,92.09,,85.42,,92.34,,92.34,,92.34,,92.34,,92.34,,92.34,,92.34,,92.34,,92.34,,92.34,,92.34,,75.41,,55.56,,84.72,,104.31,,90.17,,133.18,,108.43,,123.35,,72.46,,107.75,106.57,,113.04,,92.34
2004-06,90.47,102.4,102.73,54.85,53.43,91.32,92.04,91,91.78,83.52,84.53,91.32,92.04,91.32,92.04,91.32,92.04,91.32,92.04,91.32,92.04,91.32,92.04,91.32,92.04,91.32,92.04,91.32,92.04,91.32,92.04,91.32,92.04,74.57,74.84,54.71,55.21,84.53,85.03,100.2,103.2,89.3,90.05,129.86,132.64,105.87,108.14,121.1,122.52,71.68,71.69,106.24,108.06,105.19,110.85,110.89,91.32
2004-07,90.46,102.32,,53.48,,90.46,,90.16,,82.87,,90.46,,90.46,,90.46,,90.46,,90.46,,90.46,,90.46,,90.46,,90.46,,90.46,,90.46,,72.98,,54.22,,85.72,,96.64,,89,,129.44,,104.73,,119.72,,72.23,,103.45,104.92,,107.97,,90.46
2004-08,91.12,102.32,,54.35,,91,,90.7,,83.99,,91,,91,,91,,91,,91,,91,,91,,91,,91,,91,,91,,73.12,,54.23,,84.82,,96.36,,89.42,,131.18,,105.56,,121.29,,71.75,,102.7,105.74,,106.66,,91
2004-09,90.96,101.42,102.02,55,54.28,90.73,90.73,90.48,90.45,85.23,84.03,90.73,90.73,90.73,90.73,90.73,90.73,90.73,90.73,90.73,90.73,90.73,90.73,90.73,90.73,90.73,90.73,90.73,90.73,90.73,90.73,90.73,90.73,72.6,72.9,54.38,54.28,84.88,85.14,95.05,96.02,88.16,88.86,131.17,130.6,105.18,105.16,120.87,120.63,72.37,72.11,100.72,107.12,105.93,105.94,106.86,90.73
2004-10,89.9,100.91,,54.45,,88.87,,88.43,,84.51,,88.87,,88.87,,88.87,,88.87,,88.87,,88.87,,88.87,,88.87,,88.87,,88.87,,88.87,,70.7,,53.19,,81.73,,91.77,,85.92,,128.16,,102.51,,118.13,,71.79,,97.59,102.49,,102.08,,88.87
2004-11,86.53,96.16,,53.01,,85.35,,85.01,,82.12,,85.35,,85.35,,85.35,,85.35,,85.35,,85.35,,85.35,,85.35,,85.35,,85.35,,85.35,,67.77,,50.87,,77.75,,87.15,,82.15,,121.62,,98.17,,112.43,,71.61,,93.55,97.57,,99.67,,85.35
2004-12,85.82,92.87,96.65,51.03,52.83,82.69,85.64,82.4,85.28,79.17,81.93,82.69,85.64,82.69,85.64,82.69,85.64,82.69,85.64,82.69,85.64,82.69,85.64,82.69,85.64,82.69,85.64,82.69,85.64,82.69,85.64,82.69,85.64,65.76,68.08,47.55,50.54,76.09,78.52,81.98,86.97,79.39,82.49,119.02,122.93,93.04,97.91,107.06,112.54,70.53,71.31,95.28,97.91,99.32,97.63,99.79,82.69
2005-01,85.42,91.8,,49.52,,84.62,,84.39,,81.34,,84.62,,84.62,,84.62,,84.62,,84.62,,84.62,,84.62,,84.62,,84.62,,84.62,,84.62,,67.18,,47.5,,77.56,,82.29,,81.96,,122.62,,93.79,,108.07,,70.88,,95.82,98.11,,98.85,,84.62
2005-02,86.77,90.26,,48.02,,85.16,,84.96,,80.9,,85.16,,85.16,,85.16,,85.16,,85.16,,85.16,,85.16,,85.16,,85.16,,85.16,,85.16,,67.16,,47.02,,79.17,,81.36,,82.72,,123.62,,93.75,,107.74,,70.14,,96.84,96.27,,97.52,,85.16
2005-03,87,89.11,90.39,48.03,48.52,84.18,84.65,84.02,84.45,80.26,80.83,84.18,84.65,84.18,84.65,84.18,84.65,84.18,84.65,84.18,84.65,84.18,84.65,84.18,84.65,84.18,84.65,84.18,84.65,84.18,84.65,84.18,84.65,66.51,66.95,45.59,46.7,77.04,77.92,80.91,81.52,81.87,82.19,122.21,122.82,91.86,93.13,106.36,107.39,70.05,70.36,95.08,95.74,96.71,95.66,97.34,84.18
2005-04,88.64,89.25,,49.76,,85.72,,85.6,,80.57,,85.72,,85.72,,85.72,,85.72,,85.72,,85.72,,85.72,,85.72,,85.72,,85.72,,85.72,,68.59,,47.25,,78.34,,85.01,,84.04,,124.2,,94.64,,111.39,,70.03,,96.74,97.23,,96.83,,85.72
2005-05,88.12,88.53,,50.09,,87.47,,87.28,,82.44,,87.47,,87.47,,87.47,,87.47,,87.47,,87.47,,87.47,,87.47,,87.47,,87.47,,87.47,,71.03,,49.19,,78.88,,87.37,,85.99,,126.6,,96.78,,112.94,,69.12,,98.09,98.14,,97.01,,87.47
2005-06,89.84,89.46,89.08,49.71,49.85,91.25,88.15,91.07,87.99,84.06,82.35,91.25,88.15,91.25,88.15,91.25,88.15,91.25,88.15,91.25,88.15,91.25,88.15,91.25,88.15,91.25,88.15,91.25,88.15,91.25,88.15,91.25,88.15,73.35,70.99,49.39,48.61,80.47,79.23,88.58,86.99,90.48,86.84,131.68,127.49,100.45,97.29,116.51,113.61,68.18,69.11,97.03,97.98,97.78,98.51,97.45,91.25
2005-07,92.52,91.65,,49.04,,92.07,,92.05,,87.22,,92.07,,92.07,,92.07,,92.07,,92.07,,92.07,,92.07,,92.07,,92.07,,92.07,,92.07,,73.28,,49.37,,81.59,,90.28,,92.82,,134.41,,101.89,,118.64,,67.31,,96.01,99.96,,102.78,,92.07
2005-08,91.44,90.23,,49.2,,90.23,,90.19,,85.14,,90.23,,90.23,,90.23,,90.23,,90.23,,90.23,,90.23,,90.23,,90.23,,90.23,,90.23,,71.17,,48.33,,79.82,,87.16,,90.07,,131.2,,97.83,,115.97,,67.28,,94.27,98.75,,100.3,,90.23
2005-09,91.82,91.27,91.05,49,49.08,90.6,90.97,90.57,90.94,84.53,85.63,90.6,90.97,90.6,90.97,90.6,90.97,90.6,90.97,90.6,90.97,90.6,90.97,90.6,90.97,90.6,90.97,90.6,90.97,90.6,90.97,90.6,90.97,71.85,72.1,47.09,48.26,79.05,80.15,84.75,87.4,90.41,91.1,131.51,132.38,97.24,98.99,115.45,116.69,67.87,67.49,92.15,98.19,98.97,99.73,100.94,90.6
2005-10,94.91,92.45,,49.62,,92.22,,92.24,,86.56,,92.22,,92.22,,92.22,,92.22,,92.22,,92.22,,92.22,,92.22,,92.22,,92.22,,92.22,,75,,46.24,,80.84,,86.53,,92.99,,133.77,,100.38,,119.15,,68.22,,92.16,99.75,,99.91,,92.22
2005-11,97.9,91.99,,49.69,,94.06,,94.04,,88.05,,94.06,,94.06,,94.06,,94.06,,94.06,,94.06,,94.06,,94.06,,94.06,,94.06,,94.06,,76.2,,46.9,,82.3,,89.22,,96.24,,136.13,,100.86,,120.81,,67.17,,92.41,102.26,,101.11,,94.06
2005-12,97.83,90.39,91.61,49.41,49.57,93.54,93.27,93.47,93.25,87.54,87.38,93.54,93.27,93.54,93.27,93.54,93.27,93.54,93.27,93.54,93.27,93.54,93.27,93.54,93.27,93.54,93.27,93.54,93.27,93.54,93.27,93.54,93.27,76.26,75.82,48.17,47.1,83.43,82.19,85.87,87.21,94.39,94.54,135.67,135.19,99.39,100.21,117.58,119.18,66.95,67.45,90.91,101.31,101.11,100.54,100.52,93.54
2006-01,95.43,86.8,,48.73,,91.54,,91.56,,86.5,,91.54,,91.54,,91.54,,91.54,,91.54,,91.54,,91.54,,91.54,,91.54,,91.54,,91.54,,74.13,,46.61,,82.26,,83.62,,91.12,,132.83,,96.32,,114.26,,66.47,,90.52,100.16,,101.39,,91.54
2006-02,97.43,85.76,,48.46,,92.91,,92.97,,87.42,,92.91,,92.91,,92.91,,92.91,,92.91,,92.91,,92.91,,92.91,,92.91,,92.91,,92.91,,75.53,,48.67,,83.74,,84.32,,92.84,,135.68,,96.83,,115.25,,66.05,,89.88,101.34,,103.62,,92.91
