指标,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值
2018-02,89.22,95.48,,138.96,,89.89,,89.66,,109.45,,89.89,,89.89,,89.89,,89.89,,89.89,,89.89,,89.89,,89.89,,89.89,,89.89,,89.89,,90.33,,76.5,,97.13,,89.42,,95.29,,97.06,,83.38,,89.89,,117.24,,98.44,95.36,,95.41,,89.89
2018-03,87.62,94.72,94.83,142.9,140.16,89.97,90.27,89.74,90.08,109.36,109.81,89.97,90.27,89.97,90.27,89.97,90.27,89.97,90.27,89.97,90.27,89.97,90.27,89.97,90.27,89.97,90.27,89.97,90.27,89.97,90.27,89.97,90.27,90.7,90.65,75.51,76.66,96.31,97.22,90.54,90.2,97.74,96.22,98.42,98.44,83.83,84.05,89.97,90.27,117.15,117.8,101.15,96.82,95.6,96.14,95.87,89.97
2018-04,88.9,94.4,,149.14,,90.4,,90.14,,108.51,,90.4,,90.4,,90.4,,90.4,,90.4,,90.4,,90.4,,90.4,,90.4,,90.4,,90.4,,90.92,,75.49,,97.15,,90.61,,100.15,,100.54,,84.02,,90.4,,115.42,,99.61,97.7,,96.24,,90.4
2018-05,90.69,95.18,,162.36,,93.97,,93.69,,113.55,,93.97,,93.97,,93.97,,93.97,,93.97,,93.97,,93.97,,93.97,,93.97,,93.97,,93.97,,95.79,,78.75,,100.41,,96.02,,103.91,,103.61,,88.16,,93.97,,122.67,,100.69,99.83,,100.32,,93.97
2018-06,90.92,96.6,95.39,170.3,160.6,95,93.13,94.83,92.89,114.99,112.35,95,93.13,95,93.13,95,93.13,95,93.13,95,93.13,95,93.13,95,93.13,95,93.13,95,93.13,95,93.13,95,93.13,98.98,95.23,81.02,78.42,100.61,99.39,97.79,94.8,104.4,102.82,102.83,102.33,89.76,87.31,95,93.13,127.36,121.82,102.67,100.21,99.25,100.47,99.01,95
2018-07,92.12,99.25,,175.09,,94.93,,94.82,,116.03,,94.93,,94.93,,94.93,,94.93,,94.93,,94.93,,94.93,,94.93,,94.93,,94.93,,94.93,,99.57,,80.71,,100.79,,98.3,,104.66,,103.36,,90.04,,94.93,,119.4,,102.73,101.46,,102.74,,94.93
2018-08,91.78,99.13,,216.03,,96.05,,96,,118.63,,96.05,,96.05,,96.05,,96.05,,96.05,,96.05,,96.05,,96.05,,96.05,,96.05,,96.05,,100.21,,81.65,,103.26,,98.49,,107.51,,102.75,,90.44,,96.05,,118.36,,102,102.55,,104.52,,96.05
2018-09,92.51,98.99,99.12,233,208.04,95.08,95.35,95.12,95.32,116.98,117.21,95.08,95.35,95.08,95.35,95.08,95.35,95.08,95.35,95.08,95.35,95.08,95.35,95.08,95.35,95.08,95.35,95.08,95.35,95.08,95.35,95.08,95.35,99.76,99.85,83.93,82.1,102.33,102.12,97.81,98.2,106.26,106.15,100.58,102.23,89.29,89.92,95.08,95.35,119.43,119.06,101.99,104.32,102.78,105.68,104.31,95.08
2018-10,93.26,100.02,,214.21,,96.6,,96.59,,117.44,,96.6,,96.6,,96.6,,96.6,,96.6,,96.6,,96.6,,96.6,,96.6,,96.6,,96.6,,101.04,,88.67,,102.36,,99.41,,107.18,,103.24,,91.43,,96.6,,120.41,,101.75,105.71,,106.72,,96.6
2018-11,93.67,99.68,,196.95,,97.62,,97.6,,118.45,,97.62,,97.62,,97.62,,97.62,,97.62,,97.62,,97.62,,97.62,,97.62,,97.62,,97.62,,101.73,,93.26,,105.03,,100.47,,107.43,,104.03,,92.77,,97.62,,127.16,,103.27,103.7,,102.88,,97.62
2018-12,92.75,99.26,99.65,195.26,202.14,97.48,97.23,97.48,97.22,120.63,118.84,97.48,97.23,97.48,97.23,97.48,97.23,97.48,97.23,97.48,97.23,97.48,97.23,97.48,97.23,97.48,97.23,97.48,97.23,97.48,97.23,97.48,97.23,101.47,101.42,91.59,91.17,106.89,104.76,99.93,99.94,107,107.2,103.14,103.47,92.26,92.15,97.48,97.23,126.13,124.57,105.2,104.75,104.72,102.36,103.99,97.48
2019-01,90.18,99.14,,197.11,,97.15,,97.22,,118.52,,97.15,,97.15,,97.15,,97.15,,97.15,,97.15,,97.15,,97.15,,97.15,,97.15,,97.15,,100.37,,90.72,,106.12,,99.75,,106.6,,102.76,,91.37,,97.15,,120.6,,104.17,105.27,,102.88,,97.15
2019-02,91.18,99.18,,193.62,,97.77,,97.76,,117.39,,97.77,,97.77,,97.77,,97.77,,97.77,,97.77,,97.77,,97.77,,97.77,,97.77,,97.77,,100.38,,90.94,,106.45,,100.91,,109.73,,104.08,,92.16,,97.77,,120.64,,103.33,105.18,,102.02,,97.77
2019-03,91.92,99.97,99.43,200.58,197.1,98.2,97.71,98.17,97.72,116.06,117.32,98.2,97.71,98.2,97.71,98.2,97.71,98.2,97.71,98.2,97.71,98.2,97.71,98.2,97.71,98.2,97.71,98.2,97.71,98.2,97.71,98.2,97.71,100.06,100.27,90.94,90.87,106.62,106.4,100.83,100.5,110.19,108.84,103.98,103.6,92.37,91.96,98.2,97.71,120.92,120.72,104.58,106.12,105.52,102.03,102.31,98.2
2019-04,92.25,100.96,,211.53,,98.73,,98.7,,117.24,,98.73,,98.73,,98.73,,98.73,,98.73,,98.73,,98.73,,98.73,,98.73,,98.73,,98.73,,102.28,,91.29,,106.06,,101.15,,110.55,,104.64,,92.9,,98.73,,119.29,,104.66,105.57,,103.85,,98.73
2019-05,90.98,104.57,,222.06,,99.16,,99.24,,118.97,,99.16,,99.16,,99.16,,99.16,,99.16,,99.16,,99.16,,99.16,,99.16,,99.16,,99.16,,104.09,,93.32,,108.32,,101.87,,113.88,,105.05,,93.66,,99.16,,120.22,,105.29,108.14,,106.27,,99.16
2019-06,89.31,103.78,103.11,213.71,215.77,98.21,98.7,98.33,98.76,120.51,118.91,98.21,98.7,98.21,98.7,98.21,98.7,98.21,98.7,98.21,98.7,98.21,98.7,98.21,98.7,98.21,98.7,98.21,98.7,98.21,98.7,98.21,98.7,102.39,102.92,94.58,93.06,107.05,107.14,100.24,101.09,111.64,112.02,102.77,104.15,92.17,92.91,98.21,98.7,121.03,120.18,103.95,108.22,107.31,105.64,105.25,98.21
2019-07,89.44,103.99,,208.15,,98.92,,98.95,,122.56,,98.92,,98.92,,98.92,,98.92,,98.92,,98.92,,98.92,,98.92,,98.92,,98.92,,98.92,,103.84,,94.51,,106.77,,100.7,,111.63,,102.6,,92.59,,98.92,,119.79,,102.49,107.54,,104.4,,98.92
2019-08,87.86,106.99,,206.83,,99.71,,99.7,,125.69,,99.71,,99.71,,99.71,,99.71,,99.71,,99.71,,99.71,,99.71,,99.71,,99.71,,99.71,,105.2,,93.84,,111.17,,103.58,,114.41,,101.76,,94.3,,99.71,,123.8,,103.85,110.93,,108.36,,99.71
2019-09,88.79,105.76,105.58,209.69,208.23,100.77,99.8,100.85,99.83,123.68,123.97,100.77,99.8,100.77,99.8,100.77,99.8,100.77,99.8,100.77,99.8,100.77,99.8,100.77,99.8,100.77,99.8,100.77,99.8,100.77,99.8,100.77,99.8,108.14,105.73,94.81,94.39,111.79,109.91,104.9,103.06,115.27,113.77,102.93,102.43,95.58,94.16,100.77,99.8,123.11,122.24,103.6,110.37,109.62,109.9,107.55,100.77
2019-10,89.35,104.64,,212.69,,100.35,,100.49,,120.87,,100.35,,100.35,,100.35,,100.35,,100.35,,100.35,,100.35,,100.35,,100.35,,100.35,,100.35,,107.51,,94.51,,113.5,,103.31,,115.98,,103.25,,94.53,,100.35,,121.57,,103.19,110.6,,110.09,,100.35
2019-11,89.92,103.27,,210.72,,100.4,,100.54,,118.59,,100.4,,100.4,,100.4,,100.4,,100.4,,100.4,,100.4,,100.4,,100.4,,100.4,,100.4,,108.11,,93.76,,113.43,,102.82,,114.33,,103.2,,93.94,,100.4,,121.5,,103.56,110.03,,109.01,,100.4
2019-12,90.23,103.8,103.9,214.91,212.77,99.83,100.19,100.02,100.35,116.65,118.71,99.83,100.19,99.83,100.19,99.83,100.19,99.83,100.19,99.83,100.19,99.83,100.19,99.83,100.19,99.83,100.19,99.83,100.19,99.83,100.19,99.83,100.19,106.66,107.43,92.53,93.6,111.98,112.97,101.97,102.7,111.93,114.08,102.2,102.88,93.35,93.94,99.83,100.19,120.19,121.09,103.03,109.21,109.95,105.63,108.24,99.83
2020-01,90.36,103.03,,217.62,,99.92,,100.07,,116.83,,99.92,,99.92,,99.92,,99.92,,99.92,,99.92,,99.92,,99.92,,99.92,,99.92,,99.92,,107.78,,93.52,,110.95,,101.58,,112.67,,100.8,,92.36,,99.92,,118.28,,102.34,109.3,,105.54,,99.92
2020-02,90.93,105.64,,222.65,,101.72,,101.88,,117.92,,101.72,,101.72,,101.72,,101.72,,101.72,,101.72,,101.72,,101.72,,101.72,,101.72,,101.72,,110.77,,96.1,,115.22,,104,,114.94,,101.43,,93.41,,101.72,,118.44,,103.92,112.6,,109.1,,101.72
2020-03,88.83,107.87,105.51,232.68,224.32,100.49,100.71,100.43,100.79,123.78,119.51,100.49,100.71,100.49,100.71,100.49,100.71,100.49,100.71,100.49,100.71,100.49,100.71,100.49,100.71,100.49,100.71,100.49,100.71,100.49,100.71,100.49,100.71,111.79,110.11,102.15,97.25,126.73,117.63,106.46,104.01,116.31,114.64,99.45,100.56,97.76,94.51,100.49,100.71,139.48,125.4,109.15,120.92,114.27,115.31,109.98,100.49
2020-04,89.09,108.23,,251.58,,102.03,,102.14,,123.05,,102.03,,102.03,,102.03,,102.03,,102.03,,102.03,,102.03,,102.03,,102.03,,102.03,,102.03,,117.48,,109.35,,129.26,,110.88,,118.92,,100.9,,101.94,,102.03,,151.83,,109.97,119.52,,115.93,,102.03
2020-05,88.61,108.64,,254.57,,101.72,,101.76,,124.22,,101.72,,101.72,,101.72,,101.72,,101.72,,101.72,,101.72,,101.72,,101.72,,101.72,,101.72,,115.46,,109.14,,125.11,,110.35,,115.6,,100.86,,101.71,,101.72,,146.99,,109.33,115.44,,114.54,,101.72
2020-06,88.91,106.8,107.89,250.33,252.16,98.52,100.76,98.51,100.8,122,123.09,98.52,100.76,98.52,100.76,98.52,100.76,98.52,100.76,98.52,100.76,98.52,100.76,98.52,100.76,98.52,100.76,98.52,100.76,98.52,100.76,98.52,100.76,110.56,114.5,102.77,107.09,118.22,124.19,104.61,108.61,110.39,114.97,98.88,100.21,96.4,100.01,98.52,100.76,139.69,146.17,106,108.95,114.64,108.17,112.88,98.52
2020-07,88.22,105.94,,252.12,,96.69,,96.62,,120.42,,96.69,,96.69,,96.69,,96.69,,96.69,,96.69,,96.69,,96.69,,96.69,,96.69,,96.69,,109.8,,104.73,,115.28,,103.08,,107.36,,97.12,,94.11,,96.69,,140.71,,105.64,106.92,,105.79,,96.69
2020-08,87.59,104.88,,266.7,,93.78,,93.61,,116.32,,93.78,,93.78,,93.78,,93.78,,93.78,,93.78,,93.78,,93.78,,93.78,,93.78,,93.78,,105.52,,103.58,,110.92,,98.67,,103.39,,94.57,,89.95,,93.78,,139.46,,103.5,104.37,,105.66,,93.78
2020-09,87.24,104.11,104.97,276.68,265.17,94.13,94.87,93.84,94.69,117.95,118.23,94.13,94.87,94.13,94.87,94.13,94.87,94.13,94.87,94.13,94.87,94.13,94.87,94.13,94.87,94.13,94.87,94.13,94.87,94.13,94.87,94.13,94.87,109.47,108.27,104.52,104.28,113.35,113.18,100.6,100.78,104.84,105.2,95.02,95.57,92.22,92.1,94.13,94.87,135.75,138.64,103.43,103.83,105.04,104.63,105.36,94.13
2020-10,86.94,101.27,,290.77,,94.25,,93.98,,117.67,,94.25,,94.25,,94.25,,94.25,,94.25,,94.25,,94.25,,94.25,,94.25,,94.25,,94.25,,110.42,,105.39,,115.02,,102.4,,104.87,,94.84,,93.92,,94.25,,133.62,,103.35,105.42,,105.03,,94.25
2020-11,86.27,98.61,,293.28,,93.75,,93.53,,115.67,,93.75,,93.75,,93.75,,93.75,,93.75,,93.75,,93.75,,93.75,,93.75,,93.75,,93.75,,108.97,,103.76,,112.57,,100.85,,102.6,,94.65,,90.91,,93.75,,128.22,,102.21,103.45,,101.51,,93.75
2020-12,85.78,96.77,98.88,283.22,289.09,91.17,93.06,90.92,92.81,113.75,115.7,91.17,93.06,91.17,93.06,91.17,93.06,91.17,93.06,91.17,93.06,91.17,93.06,91.17,93.06,91.17,93.06,91.17,93.06,91.17,93.06,91.17,93.06,105.75,108.38,96.72,101.95,108.09,111.9,97.64,100.3,99.23,102.23,92.37,93.95,87.95,90.93,91.17,93.06,125.3,129.05,100.21,99.85,102.91,98.32,101.62,91.17
2021-01,85.69,97.09,,271.66,,91.16,,90.84,,112.06,,91.16,,91.16,,91.16,,91.16,,91.16,,91.16,,91.16,,91.16,,91.16,,91.16,,91.16,,105.68,,97.44,,105.63,,98.9,,98.32,,92.11,,87.32,,91.16,,124.99,,99.54,97.27,,96.98,,91.16
2021-02,87.06,98.27,,260.06,,91.71,,91.4,,110.18,,91.71,,91.71,,91.71,,91.71,,91.71,,91.71,,91.71,,91.71,,91.71,,91.71,,91.71,,106.04,,97.24,,105.36,,98.6,,98.87,,93.24,,86.97,,91.71,,127.48,,99.35,96.91,,96.28,,91.71
2021-03,89.83,99.98,98.45,281.92,271.21,93.23,92.03,92.93,91.72,110.25,110.83,93.23,92.03,93.23,92.03,93.23,92.03,93.23,92.03,93.23,92.03,93.23,92.03,93.23,92.03,93.23,92.03,93.23,92.03,93.23,92.03,93.23,92.03,110.04,107.25,96.52,97.07,105.74,105.58,102.49,100,101.33,99.51,96.59,93.98,89.46,87.92,93.23,92.03,130.28,127.58,98.36,97.45,97.21,97.76,97,93.23
2021-04,90.15,98.86,,299.79,,92.74,,92.49,,110.37,,92.74,,92.74,,92.74,,92.74,,92.74,,92.74,,92.74,,92.74,,92.74,,92.74,,92.74,,108.15,,95.43,,104.07,,101.31,,100.94,,95.97,,88.21,,92.74,,126.15,,97.78,97.74,,97.84,,92.74
2021-05,90.15,99.34,,306.89,,91.29,,91.03,,108.44,,91.29,,91.29,,91.29,,91.29,,91.29,,91.29,,91.29,,91.29,,91.29,,91.29,,91.29,,104.37,,93.29,,102.94,,98.89,,99.05,,93.8,,85.57,,91.29,,125.47,,94.84,96.84,,96.46,,91.29
2021-06,90.97,99.18,99.12,316.3,307.66,92.08,92.04,91.79,91.77,108.96,109.25,92.08,92.04,92.08,92.04,92.08,92.04,92.08,92.04,92.08,92.04,92.08,92.04,92.08,92.04,92.08,92.04,92.08,92.04,92.08,92.04,92.08,92.04,103.97,105.5,92.39,93.7,104.43,103.81,99.1,99.77,99.58,99.86,94.34,94.7,85.92,86.57,92.08,92.04,125.67,125.76,95.59,98.23,97.6,98.15,97.48,92.08
2021-07,91.1,101.19,,315.46,,93.81,,93.54,,110.66,,93.81,,93.81,,93.81,,93.81,,93.81,,93.81,,93.81,,93.81,,93.81,,93.81,,93.81,,108.24,,94.39,,108.85,,102.39,,102.35,,95.4,,88.2,,93.81,,125.52,,97.97,101.21,,99.9,,93.81
2021-08,90.75,102.66,,311.2,,94.27,,93.94,,110.74,,94.27,,94.27,,94.27,,94.27,,94.27,,94.27,,94.27,,94.27,,94.27,,94.27,,94.27,,107.09,,95.56,,109.76,,102.96,,102.95,,95,,87.97,,94.27,,126.13,,98.55,102.88,,99.94,,94.27
2021-09,91.03,103.57,102.47,313.84,313.5,94.25,94.11,93.94,93.81,111.27,110.89,94.25,94.11,94.25,94.11,94.25,94.11,94.25,94.11,94.25,94.11,94.25,94.11,94.25,94.11,94.25,94.11,94.25,94.11,94.25,94.11,94.25,94.11,107.18,107.5,97.25,95.74,107.31,108.64,102.9,102.75,102.49,102.6,95.84,95.41,87.71,87.96,94.25,94.11,126,125.88,99.1,102.63,102.24,98.85,99.56,94.25
2021-10,93.46,104.55,,337.62,,95.62,,95.35,,111.56,,95.62,,95.62,,95.62,,95.62,,95.62,,95.62,,95.62,,95.62,,95.62,,95.62,,95.62,,111.45,,97.88,,104.9,,105.03,,102.89,,95.97,,89.35,,95.62,,128.85,,97.31,101.64,,98.8,,95.62
2021-11,94.23,104.63,,392.59,,97.26,,96.9,,113.63,,97.26,,97.26,,97.26,,97.26,,97.26,,97.26,,97.26,,97.26,,97.26,,97.26,,97.26,,114.38,,99.01,,108.3,,107.94,,104.41,,95.8,,90.45,,97.26,,131,,98.29,102.77,,99.46,,97.26
2021-12,94.15,104.62,104.6,497.9,409.37,98.16,97.01,97.82,96.69,114.76,113.32,98.16,97.01,98.16,97.01,98.16,97.01,98.16,97.01,98.16,97.01,98.16,97.01,98.16,97.01,98.16,97.01,98.16,97.01,98.16,97.01,98.16,97.01,116.42,114.08,98.6,98.49,111.14,108.12,108.34,107.1,107.84,105.05,95.7,95.82,90.83,90.21,98.16,97.01,131.24,130.36,100.1,104.98,103.13,102.68,100.31,98.16
2022-01,94.95,105.68,,497.06,,98,,97.79,,112.71,,98,,98,,98,,98,,98,,98,,98,,98,,98,,98,,98,,113.47,,97.84,,109.68,,106.65,,108.37,,95.47,,87.94,,98,,128.84,,98.71,104.65,,103.41,,98
2022-02,95.17,105.99,,501.47,,97.79,,97.55,,112.87,,97.79,,97.79,,97.79,,97.79,,97.79,,97.79,,97.79,,97.79,,97.79,,97.79,,97.79,,112.77,,94.89,,109.93,,106.46,,110.22,,95.88,,87.63,,97.79,,128.58,,99.48,104.98,,104.42,,97.79
2022-03,97.97,107.94,106.54,536.69,511.74,100.65,98.81,100.4,98.58,115.99,113.85,100.65,98.81,100.65,98.81,100.65,98.81,100.65,98.81,100.65,98.81,100.65,98.81,100.65,98.81,100.65,98.81,100.65,98.81,100.65,98.81,100.65,98.81,122.62,116.29,98.66,97.13,109.58,109.73,114.46,109.19,113.55,110.71,96.61,95.98,92.3,89.29,100.65,98.81,129.1,128.84,99.02,101.99,103.87,101.52,103.12,100.65
2022-04,104.41,109.16,,539.99,,102.71,,102.27,,118.22,,102.71,,102.71,,102.71,,102.71,,102.71,,102.71,,102.71,,102.71,,102.71,,102.71,,102.71,,124.08,,98.17,,110.32,,113.92,,113.07,,98,,91.81,,102.71,,126.07,,98.78,101.57,,103.23,,102.71
2022-05,106.5,112.11,,573.27,,104.87,,104.63,,122.76,,104.87,,104.87,,104.87,,104.87,,104.87,,104.87,,104.87,,104.87,,104.87,,104.87,,104.87,,130.24,,99.32,,119.04,,116.61,,117.75,,101.78,,95.15,,104.87,,125.83,,100.54,106.57,,108.93,,104.87
2022-06,110.61,112.85,111.37,624.04,579.1,105,104.19,104.7,103.87,124.07,121.68,105,104.19,105,104.19,105,104.19,105,104.19,105,104.19,105,104.19,105,104.19,105,104.19,105,104.19,105,104.19,105,104.19,134.4,129.57,99.39,98.96,120.89,116.75,116.41,115.65,118.83,116.55,100.71,100.16,95.15,94.04,105,104.19,125.69,125.87,100.24,106.85,104.99,109.85,107.34,105
2022-07,113.05,115.56,,640.96,,108.96,,108.73,,127.44,,108.96,,108.96,,108.96,,108.96,,108.96,,108.96,,108.96,,108.96,,108.96,,108.96,,108.96,,142.13,,103.58,,124.06,,124.31,,123.18,,100.75,,98.04,,108.96,,128.95,,101.23,109.63,,112.53,,108.96
2022-08,111.77,116.66,,662.17,,109.5,,109.23,,127.52,,109.5,,109.5,,109.5,,109.5,,109.5,,109.5,,109.5,,109.5,,109.5,,109.5,,109.5,,142.29,,104.89,,120.37,,123.61,,123.1,,99.44,,98.65,,109.5,,126.46,,101.05,107.93,,111.28,,109.5
2022-09,118.36,123.27,118.5,672.57,658.56,112.09,110.18,111.68,109.88,134.94,129.96,112.09,110.18,112.09,110.18,112.09,110.18,112.09,110.18,112.09,110.18,112.09,110.18,112.09,110.18,112.09,110.18,112.09,110.18,112.09,110.18,112.09,110.18,146.07,143.5,107.52,105.33,127.39,123.94,127,124.97,129.08,125.12,101.1,100.43,100.9,99.19,112.09,110.18,126.09,127.17,104.26,112.42,109.99,117.73,113.84,112.09
2022-10,121.52,126.02,,682.52,,112.74,,112.58,,135.12,,112.74,,112.74,,112.74,,112.74,,112.74,,112.74,,112.74,,112.74,,112.74,,112.74,,112.74,,152.42,,109.29,,131.16,,129.69,,132.03,,103.46,,101.49,,112.74,,125.71,,107.18,118.03,,122.5,,112.74
2022-11,117.66,120.21,,683.41,,108.72,,108.47,,130.16,,108.72,,108.72,,108.72,,108.72,,108.72,,108.72,,108.72,,108.72,,108.72,,108.72,,108.72,,143.17,,109.25,,125.68,,122.4,,126.6,,100.37,,97.14,,108.72,,122.39,,105.18,114,,114.89,,108.72
2022-12,111.43,114.36,120.2,685.18,683.7,104.78,108.75,104.43,108.49,125.57,130.28,104.78,108.75,104.78,108.75,104.78,108.75,104.78,108.75,104.78,108.75,104.78,108.75,104.78,108.75,104.78,108.75,104.78,108.75,104.78,108.75,104.78,108.75,137.7,144.43,107.94,108.82,122.34,126.39,117.3,123.13,123.15,127.26,96.85,100.23,93.18,97.27,104.78,108.75,123.11,123.74,106.34,111.4,114.48,109.81,115.74,104.78
2023-01,107.95,110,,689.64,,103,,102.71,,125.02,,103,,103,,103,,103,,103,,103,,103,,103,,103,,103,,103,,131.57,,108.56,,123.39,,115.58,,123.14,,96.03,,90.48,,103,,119.32,,105.04,108.17,,109.01,,103
2023-02,109.74,112.72,,692.04,,103.64,,103.32,,126.43,,103.64,,103.64,,103.64,,103.64,,103.64,,103.64,,103.64,,103.64,,103.64,,103.64,,103.64,,128.65,,108.3,,126.77,,117.42,,123.75,,96.05,,89.98,,103.64,,116.88,,105.24,108.69,,110.89,,103.64
2023-03,110.51,115.38,112.7,697.73,693.14,103.57,103.4,103.42,103.15,125.9,125.79,103.57,103.4,103.57,103.4,103.57,103.4,103.57,103.4,103.57,103.4,103.57,103.4,103.57,103.4,103.57,103.4,103.57,103.4,103.57,103.4,103.57,103.4,128.91,129.71,106.24,107.7,130.73,126.96,116.27,116.42,124.26,123.72,96.18,96.08,89.96,90.14,103.57,103.4,115.47,117.22,107.04,112.37,109.74,112.32,110.74,103.57
2023-04,110.24,116.87,,710.15,,101.18,,101.04,,122.77,,101.18,,101.18,,101.18,,101.18,,101.18,,101.18,,101.18,,101.18,,101.18,,101.18,,101.18,,122.87,,103.45,,130.12,,112.28,,122.71,,93.35,,86.93,,101.18,,113.76,,105.49,112.26,,112.29,,101.18
2023-05,113.56,117.36,,725.23,,102.18,,101.82,,122.49,,102.18,,102.18,,102.18,,102.18,,102.18,,102.18,,102.18,,102.18,,102.18,,102.18,,102.18,,122.77,,104.89,,133.62,,110.78,,123.82,,93.25,,88.25,,102.18,,111.52,,105.76,112.99,,112.27,,102.18
2023-06,116.79,114.66,116.3,870.25,768.54,102.33,101.9,102.16,101.67,120.98,122.08,102.33,101.9,102.33,101.9,102.33,101.9,102.33,101.9,102.33,101.9,102.33,101.9,102.33,101.9,102.33,101.9,102.33,101.9,102.33,101.9,102.33,101.9,122.55,122.73,104.46,104.27,134.05,132.59,109.27,110.78,127.7,124.74,93.61,93.41,88.89,88.02,102.33,101.9,108.36,111.21,103.95,112.03,112.43,113.66,112.74,102.33
2023-07,116.57,113.51,,973.18,,100.34,,100.2,,118.62,,100.34,,100.34,,100.34,,100.34,,100.34,,100.34,,100.34,,100.34,,100.34,,100.34,,100.34,,122.8,,100.73,,127.28,,106.6,,124.85,,90.82,,87.83,,100.34,,106.22,,103.39,111.53,,111.92,,
2023-08,119.56,116.78,,989.48,,101.69,,101.58,,120.3,,101.69,,101.69,,101.69,,101.69,,101.69,,101.69,,101.69,,101.69,,101.69,,101.69,,101.69,,126.56,,99.95,,129.74,,108.39,,128.35,,91.26,,89.88,,101.69,,106.7,,105.45,115.76,,116.32,,
2023-09,122.02,117.82,116.04,991.53,984.73,103.92,101.98,103.78,101.85,123.34,120.75,103.92,101.98,103.92,101.98,103.92,101.98,103.92,101.98,103.92,101.98,103.92,101.98,103.92,101.98,103.92,101.98,103.92,101.98,103.92,101.98,103.92,101.98,129.57,126.31,102.5,101.06,132.93,129.98,114.14,109.71,131.51,128.24,93.34,91.81,92.84,90.18,103.92,101.98,108.73,107.22,105.9,116.96,114.75,117.59,115.28,
2023-10,123.59,119.38,,1023.16,,105.06,,105.02,,125.57,,105.06,,105.06,,105.06,,105.06,,105.06,,105.06,,105.06,,105.06,,105.06,,105.06,,105.06,,130.65,,105.21,,136.51,,113.28,,130.78,,93.92,,94.64,,105.06,,113.38,,107.22,118.24,,118.29,,
